freq,ceparema,unit,geo\TIME_PERIOD,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
A,CEPA2,MIO_EUR,LT,67.7,106.0,103.7,152.4,188.0,135.5,135.7,18.1,2.9,2.7,0.7,1.3,1.7,2.4,2.5,1.9,4.4,,
A,CEPA2,MIO_EUR,LU,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1,0.0,2.5,3.6,,
A,CEPA2,MIO_EUR,LV,,,3.6,2.1,4.1,5.4,3.4,5.7,7.1,5.0,1.5,3.2,1.1,1.1,2.7,1.9,2.7,,
A,CEPA2,MIO_EUR,MT,,,,,,,,0.5,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,,
A,CEPA2,MIO_EUR,NL,,,,,,,,1718.4,1350.2,1090.4,1052.3,1057.5,1182.2,1224.1,1318.5,1370.1,1462.3,,
A,CEPA2,MIO_EUR,NO,,,,,,,,,667.2,706.2,712.0,670.3,666.2,721.5,659.0,655.1,654.8,,
A,CEPA2,MIO_EUR,PL,,,,,1045.0,1080.9,775.7,746.4,709.4,706.9,223.6,296.8,772.8,777.7,693.2,660.0,713.8,,
A,CEPA2,MIO_EUR,PT,,,,,,,,,149.3,144.2,110.0,152.7,72.4,72.3,72.3,78.0,77.9,,
A,CEPA2,MIO_EUR,RO,48.0,125.0,165.2,194.3,210.9,323.7,286.5,128.7,160.7,174.8,210.6,165.7,234.4,326.5,323.5,345.7,283.1,,
A,CEPA2,MIO_EUR,SE,118.8,129.1,148.7,155.0,179.0,223.7,255.9,290.2,322.4,344.4,349.3,426.4,458.0,443.7,508.9,395.5,562.1,,
A,CEPA2,MIO_EUR,SI,,,79.5,123.5,80.1,98.1,104.8,125.0,215.8,202.1,56.0,51.5,65.6,81.7,76.4,90.4,148.9,,
A,CEPA2,MIO_EUR,SK,,,58.8,72.8,89.2,77.7,62.0,51.4,52.9,77.4,23.8,34.2,55.1,40.5,26.1,34.9,41.9,,
A,CEPA2,MIO_NAC,AT,29.8,25.4,17.1,20.1,4.2,3.1,2.9,1.0,5.6,8.7,9.6,7.4,9.2,17.0,7.9,3.0,2.4,,
A,CEPA2,MIO_NAC,BE,,,,,,,,,84.6,158.7,110.4,133.7,160.7,135.1,141.4,167.5,210.3,,
A,CEPA2,MIO_NAC,BG,36.7,53.2,81.5,71.4,52.1,55.3,36.8,141.3,408.6,505.6,69.6,72.8,108.9,56.1,85.6,48.2,33.7,,
A,CEPA2,MIO_NAC,CH,,,,,,,,,560.2,564.2,554.2,562.4,530.1,588.7,611.4,603.2,611.2,,
A,CEPA2,MIO_NAC,CY,,,,,16.6,22.2,16.5,17.3,17.1,11.7,11.0,11.2,18.2,17.8,12.2,31.7,69.1,,
A,CEPA2,MIO_NAC,CZ,,,,,,,15689.0,11800.0,13559.0,19588.0,7813.0,10579.0,11426.0,11434.0,12325.0,13831.0,12305.0,,
A,CEPA2,MIO_NAC,DE,,,,,1154.0,1219.0,1312.0,1476.0,1462.0,1417.0,1426.0,818.0,1371.0,1440.2,1521.0,1799.0,1968.0,,
A,CEPA2,MIO_NAC,DK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
A,CEPA2,MIO_NAC,EE,,,,,,,,,3.6,3.6,0.4,0.6,0.8,0.7,1.0,1.3,1.5,,
A,CEPA2,MIO_NAC,EL,,,,,,,,,288.0,233.0,143.0,81.0,96.0,70.0,77.0,73.0,99.0,,
A,CEPA2,MIO_NAC,ES,,,,,855.0,312.0,375.0,298.0,327.0,399.0,279.0,277.0,311.0,348.0,331.0,427.0,488.0,665.0,
A,CEPA2,MIO_NAC,EU27_2020,11185.6,12097.4,12069.9,11616.6,11448.5,10555.7,10499.8,10767.4,10996.5,11050.5,8667.6,8627.7,10170.1,10434.3,10399.1,11074.2,12047.1,13576.3,12867.5
A,CEPA2,MIO_NAC,FI,,,,,,,,,0.1,0.3,0.2,0.1,0.0,0.0,0.0,0.0,0.0,,
A,CEPA2,MIO_NAC,FR,3662.1,3903.4,4065.1,3968.3,3794.7,3365.6,3587.1,3674.6,3699.3,3628.0,3673.5,3991.4,4072.6,3965.6,3594.4,4132.3,4414.8,,
