freq,ceparema,env_econ,nace_r2,unit,geo\TIME_PERIOD,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
A,CEPA1,EPS_INV_PP,B,MIO_NAC,CH,,,,,,,,,2.2,1.1,0.1,0.1,0.1,0.1,1.3,1.3,1.4,,
A,CEPA1,EPS_INV_PP,B,MIO_NAC,DE,,,,,,,,,17.6,13.2,11.0,7.7,7.5,6.0,9.6,9.6,20.7,,
A,CEPA1,EPS_INV_PP,B,MIO_NAC,DK,,,,,,,,,0.1,0.0,3.8,4.6,,,,,,,
A,CEPA1,EPS_INV_PP,B,MIO_NAC,EL,,,,,,,,,1.0,0.9,0.3,0.4,0.7,0.4,0.8,1.0,0.5,,
A,CEPA1,EPS_INV_PP,B,MIO_NAC,FI,,,,,,,,,,,,0.3,0.0,,,,,,
A,CEPA1,EPS_INV_PP,B,MIO_NAC,HR,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,
A,CEPA1,EPS_INV_PP,B,MIO_NAC,IE,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
A,CEPA1,EPS_INV_PP,B,MIO_NAC,IT,,,,,,,,,,,0.1,0.0,0.0,0.0,0.0,0.0,0.5,,
A,CEPA1,EPS_INV_PP,B,MIO_NAC,LT,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,,
A,CEPA1,EPS_INV_PP,B,MIO_NAC,LV,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,
A,CEPA1,EPS_INV_PP,B,MIO_NAC,MK,,,,,,,,,,,,,,,0.0,0.0,,,
A,CEPA1,EPS_INV_PP,B,MIO_NAC,MT,,,,,,,,,,,,,,,,,,,
A,CEPA1,EPS_INV_PP,B,MIO_NAC,NO,,,,,,,,,,,,,,,,,,,
A,CEPA1,EPS_INV_PP,B,MIO_NAC,PL,,,,,,,,,12.9,5.8,25.2,8.8,26.5,58.7,98.5,87.1,60.0,,
A,CEPA1,EPS_INV_PP,B,MIO_NAC,PT,,,,,,,,,4.5,0.4,0.5,0.0,0.5,2.2,0.5,2.8,,,
A,CEPA1,EPS_INV_PP,B,MIO_NAC,RO,,,,,,,,,14.0,10.5,9.7,11.2,12.8,18.0,39.0,25.9,14.8,,
A,CEPA1,EPS_INV_PP,B,MIO_NAC,RS,,,,,,,,,2.8,0.0,0.6,0.0,2.5,8.9,0.0,26.2,72.5,,
A,CEPA1,EPS_INV_PP,B,MIO_NAC,SE,,,,,,,,,,,,,,348.3,,370.5,,,
A,CEPA1,EPS_INV_PP,B,MIO_NAC,SI,,,,,,,,,0.0,0.0,0.1,0.6,0.0,0.0,0.0,0.1,0.0,,
A,CEPA1,EPS_INV_PP,C,MIO_EUR,AT,,,,,,,,,24.6,15.4,44.3,37.5,43.8,32.7,39.6,57.9,115.6,,
A,CEPA1,EPS_INV_PP,C,MIO_EUR,BA,,,,,,,,,,,,,,,,,2.8,,
A,CEPA1,EPS_INV_PP,C,MIO_EUR,BE,,,,,,,,,26.1,26.8,27.6,30.7,33.3,35.6,31.6,41.7,37.1,,
A,CEPA1,EPS_INV_PP,C,MIO_EUR,BG,,,,,,,,,11.0,30.7,48.0,35.9,20.1,14.9,17.7,29.5,12.1,,
A,CEPA1,EPS_INV_PP,C,MIO_EUR,CH,,,,,,,,,45.2,58.9,68.1,58.1,47.5,49.9,80.2,80.4,87.7,,
A,CEPA1,EPS_INV_PP,C,MIO_EUR,DE,,,,,,,,,417.3,365.1,324.2,328.0,356.2,438.2,501.0,697.7,991.6,,
A,CEPA1,EPS_INV_PP,C,MIO_EUR,DK,,,,,,,,,20.3,5.6,12.2,13.0,,,,,,,
A,CEPA1,EPS_INV_PP,C,MIO_EUR,EL,,,,,,,,,0.2,0.6,0.1,12.4,0.1,0.5,1.7,0.2,2.5,,
A,CEPA1,EPS_INV_PP,C,MIO_EUR,FI,,,,,,,,,,,,42.3,,,31.4,,,,
A,CEPA1,EPS_INV_PP,C,MIO_EUR,HR,,,,,,,,,0.2,0.2,0.4,0.2,,,,,,,
A,CEPA1,EPS_INV_PP,C,MIO_EUR,IE,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
A,CEPA1,EPS_INV_PP,C,MIO_EUR,IT,,,,,,,,,,,53.7,54.7,87.0,41.0,27.4,58.2,39.6,,
A,CEPA1,EPS_INV_PP,C,MIO_EUR,LT,,,,,,,,,4.4,2.1,0.0,0.3,2.3,0.9,3.3,3.8,0.9,,
A,CEPA1,EPS_INV_PP,C,MIO_EUR,LV,,,,,,,,,,,,,5.5,2.0,5.7,1.9,,,
A,CEPA1,EPS_INV_PP,C,MIO_EUR,MK,,,,,,,,,,,,,,,0.6,0.2,,,
A,CEPA1,EPS_INV_PP,C,MIO_EUR,MT,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
A,CEPA1,EPS_INV_PP,C,MIO_EUR,NO,,,,,,,,,5.3,7.7,10.8,7.3,,,,,,,
A,CEPA1,EPS_INV_PP,C,MIO_EUR,PL,,,,,,,,,61.1,104.1,68.3,54.3,57.8,43.9,77.1,90.0,153.6,,
A,CEPA1,EPS_INV_PP,C,MIO_EUR,PT,,,,,,,,,11.6,27.8,14.8,18.5,25.3,23.5,,,,,
A,CEPA1,EPS_INV_PP,C,MIO_EUR,RO,,,,,,,,,18.9,16.4,13.8,6.9,10.7,21.6,16.3,13.6,19.1,,
A,CEPA1,EPS_INV_PP,C,MIO_EUR,RS,,,,,,,,,1.5,0.9,1.2,1.1,0.8,0.6,0.1,3.3,3.1,,
A,CEPA1,EPS_INV_PP,C,MIO_EUR,SE,,,,,,,,,,,,,64.1,53.3,108.9,215.4,,,
A,CEPA1,EPS_INV_PP,C,MIO_EUR,SI,,,,,,,,,8.8,15.2,13.8,9.1,13.2,8.9,26.8,23.2,13.7,,
A,CEPA1,EPS_INV_PP,C,MIO_NAC,AT,,,,,,,,,24.6,15.4,44.3,37.5,43.8,32.7,39.6,57.9,115.6,,
A,CEPA1,EPS_INV_PP,C,MIO_NAC,BA,,,,,,,,,,,,,,,,,5.5,,
A,CEPA1,EPS_INV_PP,C,MIO_NAC,BE,,,,,,,,,26.1,26.8,27.6,30.7,33.3,35.6,31.6,41.7,37.1,,
A,CEPA1,EPS_INV_PP,C,MIO_NAC,BG,,,,,,,,,11.0,30.7,48.0,35.9,20.1,14.9,17.7,29.5,12.1,,
A,CEPA1,EPS_INV_PP,C,MIO_NAC,CH,,,,,,,,,54.9,62.9,74.3,64.6,54.8,55.5,85.9,87.0,88.1,,
A,CEPA1,EPS_INV_PP,C,MIO_NAC,DE,,,,,,,,,417.3,365.1,324.2,328.0,356.2,438.2,501.0,697.7,991.6,,
A,CEPA1,EPS_INV_PP,C,MIO_NAC,DK,,,,,,,,,151.3,41.6,90.5,97.0,,,,,,,
A,CEPA1,EPS_INV_PP,C,MIO_NAC,EL,,,,,,,,,0.2,0.6,0.1,12.4,0.1,0.5,1.7,0.2,2.5,,
A,CEPA1,EPS_INV_PP,C,MIO_NAC,FI,,,,,,,,,,,,42.3,,,31.4,,,,
A,CEPA1,EPS_INV_PP,C,MIO_NAC,HR,,,,,,,,,0.2,0.2,0.4,0.2,,,,,,,
A,CEPA1,EPS_INV_PP,C,MIO_NAC,IE,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
A,CEPA1,EPS_INV_PP,C,MIO_NAC,IT,,,,,,,,,,,53.7,54.7,87.0,41.0,27.4,58.2,39.6,,
