freq,ceparema,unit,geo\TIME_PERIOD,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
A,CEPA2,MIO_EUR,PL,,,,,601.0,404.8,645.4,460.1,659.3,760.9,218.1,251.6,409.9,537.8,505.9,514.7,562.2,,
A,CEPA2,MIO_EUR,PT,,,,,,,,,55.1,87.6,9.8,49.9,85.0,96.4,127.5,147.2,207.7,,
A,CEPA2,MIO_EUR,RO,1.1,2.4,2.4,6.6,7.1,9.6,2.9,1.8,2.5,5.0,0.1,1.0,1.4,0.9,1.4,1.1,3.4,,
A,CEPA2,MIO_EUR,RS,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,,
A,CEPA2,MIO_EUR,SE,37.7,50.9,52.1,101.0,53.2,74.7,96.5,94.8,114.6,123.3,156.8,133.7,114.8,159.7,112.4,142.6,240.1,,
A,CEPA2,MIO_EUR,SI,,,6.3,12.9,1.7,0.5,0.3,1.4,1.1,0.9,0.5,1.1,1.1,0.9,1.3,1.8,2.7,,
A,CEPA2,MIO_EUR,SK,,,73.7,87.6,88.5,34.4,64.5,73.7,102.6,242.6,180.0,100.7,74.5,71.2,45.9,30.1,92.4,,
A,CEPA2,MIO_NAC,AT,660.6,662.1,619.3,570.6,484.2,443.8,432.6,411.8,95.7,118.2,109.9,449.8,492.8,530.1,473.6,513.4,484.6,,
A,CEPA2,MIO_NAC,BA,,,,,,,,,,,,,,,,,0.9,,
A,CEPA2,MIO_NAC,BE,,,,,,,,,61.0,60.6,60.6,72.5,89.7,93.3,89.3,80.5,104.1,,
A,CEPA2,MIO_NAC,BG,14.5,36.0,59.3,0.9,5.9,25.9,4.3,4.0,2.3,2.2,0.9,1.2,0.8,0.4,0.4,8.0,7.0,,
A,CEPA2,MIO_NAC,CH,,,,,,,,,289.7,171.9,199.9,201.9,213.0,212.5,232.0,237.2,240.5,,
A,CEPA2,MIO_NAC,CY,,,,,92.2,91.9,92.0,87.1,14.7,24.2,14.8,38.7,0.4,0.8,0.4,0.2,0.0,,
A,CEPA2,MIO_NAC,CZ,,,,,,,536.0,397.0,406.0,336.0,370.0,436.0,312.0,409.0,410.0,618.0,614.0,,
A,CEPA2,MIO_NAC,DE,,,,,4236.0,4163.0,4434.0,4154.0,4777.0,4283.0,4192.0,4765.0,5310.0,5321.8,5657.0,5021.0,5489.0,,
A,CEPA2,MIO_NAC,DK,2331.3,3271.9,3714.3,3141.7,4381.4,4936.2,4979.7,5923.7,3840.1,6701.3,6472.4,7396.9,5899.9,5843.5,6818.3,7491.8,7531.7,,
A,CEPA2,MIO_NAC,EE,,,,,,,,,74.2,44.2,29.8,20.0,29.0,31.2,38.9,38.4,57.2,,
A,CEPA2,MIO_NAC,EL,,,,,,,,,11.1,3.7,5.6,3.6,2.9,3.4,4.0,2.2,2.8,,
A,CEPA2,MIO_NAC,ES,,,,,586.5,311.4,179.1,148.4,126.9,129.6,114.4,102.5,86.0,96.2,91.5,118.0,134.9,142.0,
A,CEPA2,MIO_NAC,EU27_2020,9147.2,9335.1,9503.2,8981.2,9009.4,8700.5,8943.2,8407.3,8376.7,8439.4,7673.7,8772.0,9452.6,10182.2,10413.5,10511.6,11605.2,12145.1,12320.2
A,CEPA2,MIO_NAC,FI,,,,,,,,,208.0,149.0,166.0,125.0,181.0,122.0,133.0,135.0,132.0,,
A,CEPA2,MIO_NAC,FR,541.8,645.6,597.1,641.8,571.6,884.9,584.7,615.1,342.5,113.6,138.7,98.6,144.5,416.2,265.7,266.0,224.2,,
A,CEPA2,MIO_NAC,HR,,,,,,,,,16.8,21.0,23.8,14.0,18.8,20.2,22.7,25.4,24.4,,
A,CEPA2,MIO_NAC,HU,,,,,,,,,73886.0,70414.0,40431.0,38382.0,41783.0,59930.0,57440.0,62498.0,104923.0,,
A,CEPA2,MIO_NAC,IE,,,1.8,1.5,1.1,1.0,1.1,1.1,1.2,1.0,1.0,3.6,1.0,1.4,1.4,3.0,1.8,,
A,CEPA2,MIO_NAC,IS,,,,,,,,,728.4,1189.8,1996.3,1776.1,1539.9,1773.0,2093.0,2379.0,3085.6,,
A,CEPA2,MIO_NAC,IT,,,679.3,684.8,757.4,683.2,844.8,655.7,655.9,892.9,1006.5,1147.7,1184.4,1368.0,1299.0,1777.8,2106.9,,
A,CEPA2,MIO_NAC,LT,,,,,55.4,71.7,33.4,33.2,37.7,17.8,8.4,18.8,27.0,63.3,77.4,62.1,80.0,,
A,CEPA2,MIO_NAC,LU,,,73.6,86.5,58.6,70.1,70.8,98.9,107.2,105.5,123.3,160.4,190.7,175.3,192.9,190.1,222.8,,
A,CEPA2,MIO_NAC,LV,,,88.9,50.7,19.4,17.5,50.8,37.7,50.2,47.5,11.8,26.0,16.3,30.1,34.8,48.9,21.2,,
A,CEPA2,MIO_NAC,MK,,,,,,,,,,,,,,,2565.1,2499.8,,,
A,CEPA2,MIO_NAC,MT,,,,,,,,0.8,0.2,7.1,0.5,3.4,22.7,22.3,20.8,22.7,24.8,,
A,CEPA2,MIO_NAC,NL,,,,,,,,35.9,70.1,26.4,91.5,56.6,32.8,36.3,122.5,155.7,73.4,,
A,CEPA2,MIO_NAC,NO,,,,,,,,,176.0,147.0,83.0,65.0,184.0,251.0,396.0,147.0,436.0,,
A,CEPA2,MIO_NAC,PL,,,,,2400.7,1667.9,2700.6,1931.3,2758.7,3183.7,951.6,1070.9,1747.0,2311.3,2247.9,2349.9,2634.6,,
A,CEPA2,MIO_NAC,PT,,,,,,,,,55.1,87.6,9.8,49.9,85.0,96.4,127.5,147.2,207.7,,
A,CEPA2,MIO_NAC,RO,4.0,8.0,8.8,28.1,29.9,40.7,12.9,7.8,10.9,22.2,0.4,4.7,6.7,4.1,7.0,5.2,17.0,,
A,CEPA2,MIO_NAC,RS,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,,
A,CEPA2,MIO_NAC,SE,348.6,470.5,500.7,1072.1,507.0,674.2,840.3,820.5,1042.9,1153.5,1485.1,1288.1,1178.0,1690.9,1178.1,1446.9,2552.6,,
A,CEPA2,MIO_NAC,SI,,,6.3,12.9,1.7,0.5,0.3,1.4,1.1,0.9,0.5,1.1,1.1,0.9,1.3,1.8,2.7,,
A,CEPA2,MIO_NAC,SK,,,76.5,87.6,88.5,34.4,64.5,73.7,102.6,242.6,180.0,100.7,74.5,71.2,45.9,30.1,92.4,,
A,CEPA3,MIO_EUR,AT,246.2,227.7,265.4,219.7,210.9,195.1,195.8,220.3,160.0,136.7,142.7,236.9,294.4,312.8,303.2,407.4,392.9,,
A,CEPA3,MIO_EUR,BA,,,,,,,,,,,,,,,,,3.0,,
A,CEPA3,MIO_EUR,BE,,,,,,,,,602.2,557.8,613.8,694.8,858.1,900.5,815.7,703.5,910.6,,
A,CEPA3,MIO_EUR,BG,11.6,16.7,35.8,14.2,22.1,34.1,21.1,37.7,31.1,53.9,36.8,31.1,13.7,13.2,10.2,18.3,67.7,,
A,CEPA3,MIO_EUR,CH,,,,,,,,,127.1,228.8,249.3,221.2,223.1,239.2,262.3,263.2,287.3,,
A,CEPA3,MIO_EUR,CY,,,,,0.9,0.7,0.2,0.5,0.1,0.2,0.6,0.6,1.4,0.8,1.0,5.6,4.4,,
A,CEPA3,MIO_EUR,CZ,,,,,,,228.0,181.8,201.9,185.2,152.4,222.6,275.0,309.7,296.5,318.6,397.8,,
A,CEPA3,MIO_EUR,DE,,,,,958.0,1161.0,1006.0,1010.0,1109.0,1213.0,1491.0,1634.8,2001.6,2023.1,2245.1,2277.2,2615.5,,
A,CEPA3,MIO_EUR,DK,140.3,140.2,211.1,158.8,153.6,130.4,190.3,147.9,164.8,383.6,352.8,414.7,254.9,288.4,349.2,328.8,405.3,,
A,CEPA3,MIO_EUR,EE,,,,,,,,,18.5,18.3,20.4,38.0,17.1,13.1,25.5,26.2,18.2,,
A,CEPA3,MIO_EUR,EL,,,,,,,,,56.6,54.7,36.1,34.4,39.1,38.7,29.4,116.2,128.7,,
A,CEPA3,MIO_EUR,ES,,,,,653.7,366.6,488.7,366.1,445.3,476.6,478.6,645.0,796.3,783.8,772.3,723.0,803.7,839.8,
A,CEPA3,MIO_EUR,EU27_2020,5837.5,6114.5,6324.0,5751.6,6378.6,6481.2,6338.8,5508.2,5890.9,6854.4,6554.8,7028.3,8427.2,8880.7,8568.3,9368.7,10579.6,11128.2,11164.4
A,CEPA3,MIO_EUR,FI,,,,,,,,,95.0,156.0,203.0,126.0,140.0,159.0,167.0,331.0,148.0,,
A,CEPA3,MIO_EUR,FR,603.4,655.7,625.5,619.7,652.0,666.4,654.5,658.6,653.8,622.5,626.4,639.7,677.6,788.6,722.1,810.5,837.1,,
A,CEPA3,MIO_EUR,HR,,,,,,,,,22.4,16.1,27.1,26.2,29.0,30.1,26.4,27.1,24.4,,
A,CEPA3,MIO_EUR,HU,,,,,,,,,179.3,331.8,83.6,72.8,102.9,184.3,163.1,167.6,154.2,,
A,CEPA3,MIO_EUR,IE,,,44.2,38.5,34.7,22.9,17.8,24.6,42.5,45.0,48.6,34.7,38.4,35.0,35.0,74.5,53.5,,
A,CEPA3,MIO_EUR,IS,,,,,,,,,6.9,9.4,13.0,8.4,15.5,43.5,16.7,17.5,17.9,,
A,CEPA3,MIO_EUR,IT,,,1031.8,972.7,1118.5,1136.1,1205.1,808.7,901.0,936.0,1189.6,1251.3,1467.3,1523.4,1406.1,1612.4,1961.8,,
A,CEPA3,MIO_EUR,LT,,,,,50.3,25.2,32.5,15.1,25.0,50.2,54.7,7.8,13.7,17.4,16.7,135.5,27.0,,
A,CEPA3,MIO_EUR,LU,,,9.4,7.6,11.2,18.7,16.4,17.4,19.4,15.2,12.3,21.6,18.7,26.7,14.2,27.0,18.3,,
A,CEPA3,MIO_EUR,LV,,,79.3,8.2,21.2,22.8,21.5,23.6,20.0,27.9,6.3,14.3,20.2,31.6,28.7,24.2,63.1,,
A,CEPA3,MIO_EUR,MK,,,,,,,,,,,,,,,11.7,24.8,,,
A,CEPA3,MIO_EUR,MT,,,,,,,,0.7,1.2,2.2,0.8,0.6,1.0,6.9,6.1,7.1,8.4,,
A,CEPA3,MIO_EUR,NL,,,,,,,,368.9,257.0,465.0,432.7,410.3,723.7,655.0,489.0,538.5,595.0,,
A,CEPA3,MIO_EUR,NO,,,,,,,,,80.2,298.4,109.3,133.6,106.9,124.9,107.2,196.0,182.6,,
A,CEPA3,MIO_EUR,PL,,,,,121.1,143.7,222.8,191.8,346.8,404.6,112.2,105.3,92.5,152.1,120.9,145.2,170.9,,
A,CEPA3,MIO_EUR,PT,,,,,,,,,65.2,96.5,83.5,91.7,170.3,183.7,199.5,187.8,212.1,,
A,CEPA3,MIO_EUR,RO,72.7,127.3,111.1,50.1,64.0,71.8,62.3,49.5,46.1,53.8,27.9,28.7,54.4,58.2,71.2,103.4,171.9,,
A,CEPA3,MIO_EUR,RS,,,,,,,,,31.3,30.2,31.1,29.1,30.1,36.6,34.6,38.9,62.4,,
A,CEPA3,MIO_EUR,SE,145.5,169.2,217.9,102.5,147.5,233.0,171.1,171.7,198.2,245.7,260.7,195.0,264.9,268.8,198.2,191.6,309.8,,
A,CEPA3,MIO_EUR,SI,,,24.7,33.1,13.1,9.3,9.3,13.8,24.3,80.7,31.6,10.8,12.8,10.7,10.9,12.0,13.2,,
A,CEPA3,MIO_EUR,SK,,,22.3,12.4,17.1,18.7,25.1,18.5,18.8,31.4,27.0,35.8,48.1,65.1,45.2,48.6,66.1,,
A,CEPA3,MIO_NAC,AT,246.2,227.7,265.4,219.7,210.9,195.1,195.8,220.3,160.0,136.7,142.7,236.9,294.4,312.8,303.2,407.4,392.9,,
